=== REPORT MIGRACE: TASK ===
Datum generování: Tue Apr 21 13:27:06 CEST 2026
Čas běhu: 367 s
----------------------------------------
Celkem ke zpracování: 20305
Úspěšně zmigrováno:   17240
Přeskočeno:           0
Chyby:                3065
----------------------------------------

=== DETAIL CHYB ===
ID: 143400 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143403 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143406 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143409 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143415 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143427 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143430 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143433 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143439 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143442 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143445 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143451 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143460 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143463 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143466 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143472 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143478 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143481 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143487 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143490 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143493 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143496 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143499 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143502 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143505 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143508 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143511 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143514 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143517 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143520 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143523 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143526 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143532 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143535 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
ID: 143541 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4711
