=== REPORT MIGRACE: TASK ===
Datum generování: Thu Apr 16 11:14:34 CEST 2026
Čas běhu: 151 s
----------------------------------------
Celkem ke zpracování: 14364
Úspěšně zmigrováno:   13961
Přeskočeno:           0
Chyby:                403
----------------------------------------

=== DETAIL CHYB ===
ID: 14072089 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14072379 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14072668 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14072771 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14072965 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14073653 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14074305 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14078510 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14080953 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14085078 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14085260 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14085719 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14089357 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14089530 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14090107 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14090138 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14090429 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14090943 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14091050 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14091241 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14092284 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14093020 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14093166 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14093326 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14095356 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14095546 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14098228 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14099646 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14099882 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14099947 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14100337 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
